timestamp,biosignal_0,biosignal_1,biosignal_2,biosignal_3,biosignal_4,biosignal_5,biosignal_6,biosignal_7,acceleration_x,acceleration_y,acceleration_z,angular_vec_x,angular_vec_y,angular_vec_z,magnetic_x,magnetic_y,magnetic_z,input_orientation_x,input_orientation_y,input_orientation_z,input_orientation_w,input_orientation_yaw,input_orientation_pitch,input_orientation_roll,input_projection_left,input_projection_top,input_projection_right,input_projection_bottom,prediction_time,predicted_orientation_x,predicted_orientation_y,predicted_orientation_z,predicted_orientation_w,predicted_orientation_yaw,predicted_orientation_pitch,predicted_orientation_roll,predicted_projection_left,predicted_projection_top,predicted_projection_right,predicted_projection_bottom
70560000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13765807795879664,0.030445826776508096,-0.05178308789174583,0.9886565718251108,0.04596039184300215,-0.2792526803190927,-0.1111192408364875,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
141120000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13016335568444334,0.023654917787609545,-0.04145000720113657,0.9903432953296814,0.036070255509847514,-0.2629630582691103,-0.08843013306967742,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
211680000.00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11889091314555951,0.012821287143738043,-0.03360887359609015,0.9922555159750914,0.017453292519943295,-0.23911018195702344,-0.06981317007977318,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
282240000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11059243653764822,0.01007657965118293,-0.03281129181381324,0.9932729708658684,0.012760573299936203,-0.22220008353925577,-0.06746658429154252,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
352800000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09646450357261775,-0.005703762319571788,-0.027070907184604434,0.9949518745296643,-0.016573459990512785,-0.19286605024880674,-0.05279985585366076,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
423360000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10356189543094352,-0.02702525017619965,-0.029099569396538554,0.9938298570321783,-0.059779812918119096,-0.20609438049884954,-0.05235987755982989,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
493920000.00000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11652438532494094,-0.054316291824103156,-0.027049948818275285,0.9913324913146205,-0.11424331341115662,-0.23165323905214222,-0.04125318094188587,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
564480000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13429428417462858,-0.1043668487029435,-0.02339284996423874,0.985152465712994,-0.21353667740653773,-0.26898568694976777,-0.01848006068430797,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
635040000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15088679309629827,-0.1668785426992668,-0.025851367100109605,0.9740207566960467,-0.33936416529055413,-0.30737930270539127,-0.0,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
705600000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16058190789787008,-0.22148146573122923,-0.03591367039289792,0.9611813665861071,-0.4525962899227427,-0.33161255787892263,0.002327030580438964,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
776160000.0000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15646334769405154,-0.2712599574125118,-0.0371669337274063,0.9489762248709054,-0.5544420619744262,-0.33161255787892263,0.01687154275088433,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
846720000.0000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13772160949592896,-0.32730665584250274,-0.035078633182391634,0.9341694711416679,-0.6702500252345814,-0.30368660928702196,0.031416011602320874,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
917280000.0000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1205231247559036,-0.3716431755999396,-0.0350025388871362,0.9198534387066886,-0.7644660764179223,-0.27459802995405413,0.03490658503988659,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
987840000.0000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10001286362848993,-0.4196080937579485,-0.03404726411436085,0.9015360550571324,-0.8685513073165735,-0.23715979612858776,0.03490658503988659,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
1058400000.0000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08153382420234875,-0.4740840464065059,-0.03657736434240336,0.8759330162013174,-0.9908577727525635,-0.19867722608883093,0.02414430088939801,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
1128960000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07467184465041979,-0.5307223546976206,-0.04892006790842237,0.8428313738800615,-1.124205654011123,-0.17206045264487665,-0.0074155642885842905,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
1199520000.0000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0784156619308831,-0.5894280754464353,-0.06713199168037977,0.8011983671553993,-1.269747527373782,-0.15751594447404524,-0.05105143457103508,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
1270080000.0000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09273229480021472,-0.644764044974826,-0.08789025049713475,0.753628125587373,-1.4165341467728987,-0.1729018374066496,-0.08400465325965782,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
1340640000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10141627794724947,-0.7013685324260949,-0.10151289148872214,0.6982063113087643,-1.5752704732538167,-0.17453292519943295,-0.11344706600236114,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
1411200000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10117947240691297,-0.7708227432519347,-0.10665855745455531,0.6198539868152291,-1.784847358552745,-0.18462990521343176,-0.11207606762560429,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
1481760000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09779592158470407,-0.8469777318211343,-0.11494818678523439,0.5097564064092884,-2.0529732210015714,-0.20635921440596608,-0.10471975511965978,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
1552320000.0000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0931998257958544,-0.9108804253606299,-0.13149276876485916,0.37989511043051294,-2.342694135786391,-0.2443407770823883,-0.1003565150627701,-1,1,1,-1,100,0,0,0,0,0,0,0,-1,1,1,-1
