user1r,user1p,user1y,user2r,user2p,user2y,user3r,user3p,user3y
-0.2792526803190927,-0.1111192408364875,0.04596039184300215,0.05235987755982989,0.06968194882922624,0.000262403426696019,-0.2792526803190927,-0.070540358167909,-0.17453292519943295
-0.2629630582691103,-0.08843013306967742,0.036070255509847514,0.05235987755982989,0.05655908199052111,0.02650868018608023,-0.2792526803190927,-0.08508487372264477,-0.17453292519943295
-0.23911018195702344,-0.06981317007977318,0.017453292519943295,0.04343638466050393,0.04343638466050393,0.03490658503988659,-0.2792526803190927,-0.08726646259971646,-0.17453292519943295
-0.22220008353925577,-0.06746658429154252,0.012760573299936203,0.030313694713798568,0.03490658503988659,0.03490658503988659,-0.2792526803190927,-0.08726646259971646,-0.17453292519943295
-0.19286605024880674,-0.05279985585366076,-0.016573459990512785,0.017453292519943295,0.03490658503988659,0.03490658503988659,-0.2792526803190927,-0.08726646259971646,-0.17453292519943295
-0.20609438049884954,-0.05235987755982989,-0.059779812918119096,0.017453292519943295,0.03490658503988659,0.03490658503988659,-0.2792526803190927,-0.08726646259971646,-0.17453292519943295
-0.23165323905214222,-0.04125318094188587,-0.11424331341115662,0.017453292519943295,0.04389373481010753,-0.001042410652036197,-0.2777984987378167,-0.08726646259971646,-0.173078743618157
-0.26898568694976777,-0.01848006068430797,-0.21353667740653773,0.017453292519943295,0.05235987755982989,-0.03949947536597461,-0.24870883689752007,-0.08726646259971646,-0.1439890817778603
-0.30737930270539127,-0.0,-0.33936416529055413,0.017192808255531777,0.05235987755982989,-0.05235987755982989,-0.24434609527920617,-0.08726646259971646,-0.11490023215128416
-0.33161255787892263,0.002327030580438964,-0.4525962899227427,0.004167866308657834,0.05235987755982989,-0.05235987755982989,-0.23527037432178277,-0.0781907416422931,-0.0956440341622364
-0.33161255787892263,0.01687154275088433,-0.5544420619744262,-0.016257740697218317,0.044230961899272024,-0.07674626199107601,-0.22082215349452164,-0.06981317007977318,-0.06905598339964866
-0.30368660928702196,0.031416011602320874,-0.6702500252345814,-0.03201965610602051,0.03490658503988659,-0.10183282618579369,-0.20580349288312932,-0.06981317007977318,-0.013108393464414137
-0.27459802995405413,0.03490658503988659,-0.7644660764179223,-0.018896741811424544,0.03490658503988659,-0.08870991189119772,-0.1912590296312404,-0.06908598199163735,0.07199395599507753
-0.23715979612858776,0.03490658503988659,-0.8685513073165735,-0.017453292519943295,0.03490658503988659,-0.02886180626366003,-0.17671451407650465,-0.05454146643690156,0.11563002559320469
-0.19867722608883093,0.02414430088939801,-0.9908577727525635,-0.03933407663361024,0.027612707138287746,-0.029173387193780525,-0.17453292519943295,-0.05235987755982989,0.14689915564786532
